term1
"[18, 63, '77']","[16, 19, '25']","[17, 49, '59']","[19, 103, '117']",[0]
"[19, 123, '137']","[15, 88, '102']","[17, 36, '42']","[18, 75, '89']",[0]
"[15, 89, '103']","[17, 40, '46']","[18, 68, '82']","[19, 121, '135']",[0]
"[17, 35, '41']","[16, 17, '23']","[18, 65, '79']","[19, 126, '140']",[0]
"[18, 76, '90']","[15, 131, '145']","[17, 28, '34']","[19, 120, '134']",[0]
term3
"[17, 133, 'EC']","[17, 32, '38']","[18, 72, '86']","[19, 123, '137']",[2]
"[15, 131, '145']","[17, 55, '65']","[19, 116, '130']","[19, 104, '118']",[2]
"[18, 80, '94']","[15, 89, '103']","[19, 115, '129']","[19, 96, '110']",[2]
"[17, 31, '37']","[17, 135, 'EC']","[18, 70, '84']","[19, 94, '108']",[2]
"[19, 126, '140']","[15, 129, '143']","[17, 48, '58']","[19, 101, '115']",[2]
"[17, 54, '64']","[17, 28, '34']","[18, 84, '98']","[19, 99, '113']",[2]
"[19, 106, '120']","[17, 35, '41']","[17, 34, '40']","[18, 82, '96']",[2]
"[18, 61, '75']","[16, 9, '15']","[17, 38, '44']","[19, 102, '116']",[0]
"[16, 19, '25']","[17, 36, '42']","[18, 66, '80']","[19, 113, '127']",[0]
"[19, 117, '131']","[16, 6, '7']","[17, 41, '47']","[18, 75, '89']",[0]
"[15, 88, '102']","[16, 4, '5']","[18, 71, '85']","[19, 109, '123']",[0]
"[18, 68, '82']","[16, 24, '30']","[17, 53, '63']","[19, 103, '117']",[0]
"[19, 119, '133']","[16, 20, '26']","[17, 40, '46']","[18, 78, '92']",[0]
"[19, 120, '134']","[16, 0, '1']","[17, 134, 'EC']","[18, 77, '91']",[0]
"[19, 92, '106']","[15, 128, '142']","[16, 18, '24']","[17, 30, '36']",[0]
"[17, 51, '61']","[16, 22, '28']","[18, 63, '77']","[19, 95, '109']",[0]
"[19, 100, '114']","[16, 12, '18']","[17, 39, '45']","[18, 67, '81']",[0]
"[16, 8, '9']","[17, 33, '39']","[18, 58, '68']","[19, 107, '121']",[0]
"[15, 87, '101']","[17, 57, '67']","[18, 65, '79']","[19, 121, '135']",[0]
"[17, 37, '43']","[16, 15, '21']","[18, 81, '95']","[19, 98, '112']",[0]
"[19, 124, '138']","[15, 130, '144']","[16, 2, '3']","[17, 56, '66']",[0]
"[16, 16, '22']","[17, 26, '32']","[18, 64, '78']","[19, 122, '136']",[0]
"[16, 1, '2']","[15, 85, '99']","[17, 27, '33']","[19, 111, '125']",[0]
"[16, 3, '4']","[15, 86, '100']","[17, 42, '48']","[19, 114, '128']",[0]
"[17, 44, '54']","[16, 5, '6']","[18, 62, '76']","[19, 91, '105']",[0]
"[16, 13, '19']","[17, 52, '62']","[18, 76, '90']","[19, 110, '124']",[0]
"[17, 29, '35']","[16, 23, '29']","[18, 59, '73']","[19, 97, '111']",[0]
"[19, 125, '139']","[15, 127, '141']","[16, 7, '8']","[17, 43, '49']",[0]
"[17, 46, '56']","[16, 11, '17']","[18, 60, '74']","[19, 112, '126']",[0]
"[19, 118, '132']","[16, 21, '27']","[17, 45, '55']","[18, 69, '83']",[0]
"[17, 50, '60']","[16, 14, '20']","[18, 74, '88']","[19, 93, '107']",[0]
"[17, 49, '59']","[16, 17, '23']","[18, 73, '87']","[19, 90, '104']",[0]
"[17, 47, '57']","[16, 10, '16']","[18, 83, '97']","[19, 105, '119']",[0]
"[19, 108, '122']","[15, 132, '146']","[17, 25, '31']","[18, 79, '93']",[0]
term4
"[16, 4, '5']","[17, 46, '56']","[17, 44, '54']","[19, 120, '134']",[2]
"[16, 17, '23']","[17, 54, '64']","[17, 37, '43']","[19, 117, '131']",[2]
"[19, 97, '111']","[17, 45, '55']","[18, 77, '91']","[17, 27, '33']",[2]
"[16, 5, '6']","[17, 134, 'EC']","[19, 103, '117']","[17, 51, '61']",[2]
